elapsed_seconds,present_gap_ms,frame_id,width,height,bitmap_allocations,native_crop_ms,generation2_collections
5.1698,14.539,294,909,819,2,2.795,1
5.1967,26.991,295,909,819,2,3.158,1
5.2042,7.469,296,909,819,2,2.499,1
5.2278,23.607,297,909,819,2,3.348,1
5.2511,23.313,298,909,819,2,4.607,1
5.2865,35.395,299,909,819,2,4.398,1
5.2945,7.968,300,909,819,2,3.519,1
5.3250,30.510,301,909,819,2,4.476,1
5.3351,10.077,302,909,819,2,2.933,1
5.3651,29.980,303,909,819,2,3.626,1
5.3913,26.228,304,909,819,2,5.060,1
5.4115,20.168,305,909,819,2,3.695,1
5.4296,18.098,306,909,819,2,4.894,1
5.4446,15.062,307,910,819,2,3.192,1
5.4747,30.080,308,912,819,2,3.246,1
5.4926,17.941,309,913,819,2,3.229,1
5.5021,9.476,310,914,819,2,2.334,1
5.5346,32.494,311,914,819,2,2.651,1
5.5508,16.148,312,915,819,2,3.936,1
5.5615,10.774,313,916,819,2,3.047,1
5.5794,17.879,314,915,819,2,3.003,1
5.5981,18.728,315,915,819,2,2.524,1
5.6330,34.846,316,916,819,2,3.045,1
5.6505,17.527,317,916,819,2,2.839,1
5.8894,238.911,318,914,819,2,2.808,1
5.9138,24.344,319,909,819,2,3.546,1
5.9321,18.288,320,909,819,2,5.543,1
5.9430,10.963,321,909,819,2,2.774,1
5.9644,21.401,322,909,819,2,2.354,1
5.9836,19.156,323,909,819,2,3.305,1
6.0126,29.041,324,909,819,2,3.530,1
6.0246,11.952,325,909,819,2,2.733,1
6.0463,21.755,326,909,819,2,3.295,1
6.0660,19.633,327,909,819,2,3.661,1
6.0789,12.931,328,909,819,2,3.297,1
6.0942,15.348,329,909,819,2,3.260,1
6.1117,17.429,330,909,819,2,2.901,1
6.1323,20.623,331,909,819,2,3.515,1
6.1531,20.782,332,909,819,2,3.971,1
6.1704,17.339,333,909,819,2,2.660,1
6.1912,20.803,334,909,819,2,3.668,1
6.2251,33.851,335,909,819,2,3.838,1
6.2396,14.497,336,909,819,2,2.901,1
6.2494,9.797,337,909,819,2,4.234,1
6.2804,31.030,338,909,819,2,4.021,1
6.2988,18.381,339,909,819,2,3.250,1
6.3200,21.196,340,909,819,2,5.210,1
6.3365,16.546,341,909,819,2,3.210,1
6.3456,9.126,342,909,819,2,3.535,1
6.3742,28.533,343,909,819,2,3.070,1
6.3909,16.766,344,909,819,2,3.646,1
6.4008,9.910,345,909,819,2,2.797,1
6.4225,21.646,346,909,819,2,3.277,1
6.4383,15.831,347,909,819,2,3.539,1
6.4698,31.509,348,909,819,2,2.944,1
6.4863,16.490,349,909,819,2,3.937,1
6.4944,8.035,350,909,819,2,2.769,1
6.5111,16.712,351,909,819,2,2.733,1
6.5298,18.772,352,909,819,2,3.067,1
6.5460,16.122,353,909,819,2,2.537,1
6.5641,18.176,354,909,819,2,2.965,1
6.5839,19.771,355,909,819,2,3.413,1
6.6004,16.489,356,909,819,2,2.250,1
6.6214,21.001,357,909,819,2,3.131,1
6.6368,15.445,358,909,819,2,3.113,1
6.6653,28.405,359,909,819,2,3.544,1
6.6718,6.594,360,909,819,2,3.224,1
6.6990,27.117,361,909,819,2,3.224,1
6.7045,5.486,362,909,819,2,2.601,1
6.7254,20.957,363,909,819,2,2.970,1
6.7406,15.152,364,909,819,2,2.348,1
6.7589,18.310,365,909,819,2,2.877,1
6.7751,16.197,366,909,819,2,2.426,1
6.7929,17.789,367,909,819,2,2.955,1
6.8063,13.426,368,909,819,2,2.414,1
6.8246,18.323,369,909,819,2,2.325,1
6.8403,15.680,370,909,819,2,2.357,1
6.8579,17.656,371,909,819,2,2.603,1
6.8721,14.138,372,909,819,2,2.529,1
6.8912,19.168,373,909,819,2,2.452,1
6.9070,15.792,374,909,819,2,2.647,1
6.9268,19.795,375,909,819,2,2.489,1
6.9477,20.820,376,909,819,2,3.906,1
6.9629,15.252,377,909,819,2,2.697,1
6.9798,16.893,378,909,819,2,3.627,1
6.9964,16.622,379,909,819,2,2.768,1
7.0119,15.473,380,909,819,2,2.963,1
7.0286,16.694,381,909,819,2,2.752,1
7.0463,17.733,382,909,819,2,3.334,1
7.0629,16.606,383,909,819,2,2.964,1
7.0799,16.992,384,909,819,2,3.291,1
7.0970,17.062,385,909,819,2,2.521,1
7.1148,17.771,386,909,819,2,2.860,1
7.1330,18.255,387,909,819,2,2.302,1
7.1545,21.480,388,909,819,2,3.943,1
7.1709,16.385,389,909,819,2,2.956,1
7.1910,20.079,390,909,819,2,2.499,1
7.2098,18.858,391,909,819,2,2.381,1
7.2286,18.751,392,909,819,2,2.869,1
